date,open,high,low,close,volume,open_interest,qrs_raw,qrs_r2,qrs_zscore,qrs_adjusted,qrs_slope,qrs_percentile,daily_return,raw_signal,position,benchmark_return,strategy_return,strategy_nav,benchmark_nav,strategy_drawdown,benchmark_drawdown,turnover
2023-04-27,101.225,101.32,101.145,101.3,80460,180051.0,0.9176340729096504,0.9348720048791044,,,,,0.0020773568107625984,0.0,0.0,0.0020773568107625984,0.0,1.0,1.0130506525326262,0.0,0.0,0.0
2023-04-28,101.24,101.265,101.165,101.255,51339,174747.0,0.9236924066507236,0.941582669756767,,,,,-0.00044422507403751865,0.0,0.0,-0.00044422507403751865,-0.0,1.0,1.0126006300315011,0.0,-0.00044422507403751865,0.0
2023-05-04,101.42,101.445,101.36,101.385,41944,169733.0,0.897093305532234,0.9523258473891718,,,,,0.0012838872154461445,0.0,0.0,0.0012838872154461445,0.0,1.0,1.0139006950347513,0.0,0.0,0.0
2023-05-05,101.45,101.705,101.445,101.68,65873,166659.0,0.9476647164083053,0.9474268580084357,,,,,0.0029097006460521158,0.0,0.0,0.0029097006460521158,0.0,1.0,1.0168508425421265,0.0,0.0,0.0
2023-05-08,101.56,101.58,101.425,101.48,63108,155437.0,1.0207210589619005,0.9746981288144906,,,,,-0.0019669551534224894,0.0,0.0,-0.0019669551534224894,-0.0,1.0,1.0148507425371263,0.0,-0.0019669551534224894,0.0
2023-05-09,101.53,101.625,101.515,101.545,50583,152123.0,1.0083752767371021,0.9759458037582522,,,,,0.000640520299566294,0.0,0.0,0.000640520299566294,0.0,1.0,1.0155007750387512,0.0,-0.0013276947285603136,0.0
2023-05-10,101.63,101.78,101.625,101.705,75354,144271.0,1.0123720276266623,0.979736536919887,,,,,0.0015756561130533253,0.0,0.0,0.0015756561130533253,0.0,1.0,1.0171008550427514,0.0,0.0,0.0
2023-05-11,101.91,101.955,101.765,101.835,64963,134179.0,1.0202062630685995,0.9835206324949407,,,,,0.001278206577847607,0.0,0.0,0.001278206577847607,0.0,1.0,1.0184009200460014,0.0,0.0,0.0
2023-05-12,101.755,101.78,101.67,101.755,59975,123639.0,1.0098512032713425,0.9839159207660132,,,,,-0.0007855845239848058,0.0,0.0,-0.0007855845239848058,-0.0,1.0,1.0176008800440013,0.0,-0.0007855845239848058,0.0
2023-05-15,101.76,101.83,101.645,101.7,61925,114383.0,1.0226304123883858,0.984839674844277,,,,,-0.0005405139796569314,0.0,0.0,-0.0005405139796569314,-0.0,1.0,1.0170508525426263,0.0,-0.001325673884224443,0.0
2023-05-16,101.725,101.735,101.63,101.71,60895,104637.0,1.0104170582915983,0.9829616972050883,,,,,9.83284169124854e-05,0.0,0.0,9.83284169124854e-05,0.0,1.0,1.0171508575428763,0.0,-0.0012274758187262869,0.0
2023-05-17,101.75,101.77,101.59,101.63,47527,96008.0,1.0292583340600037,0.9819277871215002,,,,,-0.000786549995084096,0.0,0.0,-0.000786549995084096,-0.0,1.0,1.0163508175408762,0.0,-0.0020130603427112037,0.0
2023-05-18,101.59,101.66,101.52,101.63,47426,86572.0,1.0148433065988625,0.9800338819587727,,,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0163508175408762,0.0,-0.0020130603427112037,0.0
2023-05-19,101.21,101.335,101.195,101.305,78839,134230.0,1.0025218451797901,0.9752820661034062,,,,,-0.0031978746433138916,0.0,0.0,-0.0031978746433138916,-0.0,1.0,1.0131006550327508,0.0,-0.005204497471399727,0.0
2023-05-22,101.29,101.445,101.28,101.36,69656,143778.0,1.048751709762144,0.9768397780923455,,,,,0.0005429149597748761,0.0,0.0,0.0005429149597748761,0.0,1.0,1.0136506825341258,0.0,-0.004664408111160201,0.0
2023-05-23,101.45,101.635,101.43,101.58,68445,151722.0,1.0397726142597452,0.969571996589515,,,,,0.0021704814522494065,0.0,0.0,0.0021704814522494065,0.0,1.0,1.015850792539626,0.0,-0.002504050670201763,0.0
2023-05-24,101.535,101.635,101.52,101.575,63170,153102.0,1.0035969815967234,0.9609765165445502,,,,,-4.9222287851868884e-05,0.0,0.0,-4.9222287851868884e-05,-0.0,1.0,1.0158007900395012,0.0,-0.00255314970295073,0.0
