date,selection_score,train_sharpe,selected_N,selected_M,selected_n,selected_S,selected_trend_method,selected_ma_len_days,selected_compare_lag_days,date_dt
2023-10-11 14:50:00,-0.00417001324866403,2.4268411293705294,20,800,2.0,0.5,price_compare,5,,2023-10-11 14:50:00
2023-10-12 15:05:00,0.0052687654504802225,2.236217204605312,20,800,2.0,0.5,price_compare,5,,2023-10-12 15:05:00
2023-10-16 09:35:00,0.004653269076812874,1.9177903972715962,20,800,2.0,0.5,price_compare,5,,2023-10-16 09:35:00
2023-10-17 09:50:00,0.018193991957439197,2.143687468931823,20,800,2.0,0.5,price_compare,5,,2023-10-17 09:50:00
2023-10-18 10:05:00,0.019404001610249095,1.9917252548080118,20,800,2.0,0.5,price_compare,5,,2023-10-18 10:05:00
2023-10-19 10:20:00,0.014191724408500726,2.238169566601268,20,800,2.0,0.5,price_compare,5,,2023-10-19 10:20:00
2023-10-20 10:35:00,0.024191011230423887,2.510735222891535,16,600,2.0,0.5,price_compare,5,,2023-10-20 10:35:00
2023-10-23 10:50:00,0.03289049152207578,1.7805367254818338,20,800,2.0,0.5,price_compare,5,,2023-10-23 10:50:00
2023-10-24 11:05:00,0.0509299301108301,1.8798933826061746,20,800,2.0,0.3,ma_compare,5,2.0,2023-10-24 11:05:00
2023-10-25 11:20:00,0.07082045792704629,2.539482035279303,20,800,2.0,0.5,price_compare,5,,2023-10-25 11:20:00
2023-10-26 13:05:00,0.06264291885806753,3.353108029905025,20,800,2.0,0.5,price_compare,5,,2023-10-26 13:05:00
2023-10-27 13:20:00,0.06328221470484713,3.135255558360891,20,800,2.0,0.5,price_compare,5,,2023-10-27 13:20:00
2023-10-30 13:35:00,0.08059429879883233,2.9703731551863397,20,800,2.0,0.5,price_compare,5,,2023-10-30 13:35:00
2023-10-31 13:50:00,0.08445117706622694,3.380279642313387,20,800,2.0,0.5,price_compare,5,,2023-10-31 13:50:00
2023-11-01 14:05:00,0.07396512093238271,3.681338513199816,20,800,2.0,0.5,price_compare,5,,2023-11-01 14:05:00
2023-11-02 14:20:00,0.06167827905674589,3.7876911043978243,20,800,2.0,0.5,price_compare,5,,2023-11-02 14:20:00
2023-11-03 14:35:00,0.05278108369431777,3.777202930062135,20,800,2.0,0.5,price_compare,5,,2023-11-03 14:35:00
2023-11-06 14:50:00,0.05967813787848333,3.497029820456034,16,600,2.0,0.5,price_compare,5,,2023-11-06 14:50:00
2023-11-07 15:05:00,0.06469910878529578,3.572084541000495,20,800,2.0,0.5,price_compare,5,,2023-11-07 15:05:00
2023-11-09 09:35:00,0.058312037356702755,3.710673813557262,20,800,2.0,0.5,price_compare,5,,2023-11-09 09:35:00
2023-11-10 09:50:00,0.05957065856637972,3.5041641038017035,16,600,2.0,0.5,price_compare,5,,2023-11-10 09:50:00
2023-11-13 10:05:00,0.058806869475217696,3.6752890403590044,16,600,2.0,0.5,price_compare,5,,2023-11-13 10:05:00
2023-11-14 10:20:00,0.055525024032058445,3.463588292916672,16,600,2.0,0.5,price_compare,5,,2023-11-14 10:20:00
2023-11-15 10:35:00,0.056320951080368935,3.275917560702386,16,600,2.0,0.5,price_compare,5,,2023-11-15 10:35:00
2023-11-16 10:50:00,0.05834496209184338,3.507253665804013,16,600,2.0,0.5,price_compare,5,,2023-11-16 10:50:00
2023-11-17 11:05:00,0.0608857252110625,3.5213403928153713,16,600,2.0,0.5,price_compare,5,,2023-11-17 11:05:00
2023-11-20 11:20:00,0.058614551854168584,3.7302605105991757,20,800,2.0,0.5,price_compare,5,,2023-11-20 11:20:00
2023-11-21 13:05:00,0.05786308471874574,3.5676646457016186,20,800,2.0,0.5,price_compare,5,,2023-11-21 13:05:00
2023-11-22 13:20:00,0.05404018558255472,4.146124766396898,20,800,2.0,0.5,price_compare,5,,2023-11-22 13:20:00
2023-11-23 13:35:00,0.04648910657574794,4.373604054501923,16,600,2.0,0.5,price_compare,5,,2023-11-23 13:35:00
2023-11-24 13:50:00,0.06926418275901515,4.3506562426456155,20,800,2.0,0.5,price_compare,5,,2023-11-24 13:50:00
2023-11-27 14:05:00,0.07693926320125455,3.9332218379997497,20,800,2.0,0.5,price_compare,5,,2023-11-27 14:05:00
2023-11-28 14:20:00,0.06486972150467932,3.940055683006563,20,800,2.0,0.5,price_compare,5,,2023-11-28 14:20:00
2023-11-29 14:35:00,0.08088153094813011,4.224138112890058,16,600,2.0,0.5,price_compare,5,,2023-11-29 14:35:00
2023-11-30 14:50:00,0.07525299753003657,4.205488783143414,16,600,2.0,0.5,price_compare,5,,2023-11-30 14:50:00
2023-12-01 15:05:00,0.06317740068713314,4.60132383830802,16,600,2.0,0.5,price_compare,5,,2023-12-01 15:05:00
2023-12-05 09:35:00,0.07839699933984358,4.402282694102424,16,600,2.0,0.5,price_compare,5,,2023-12-05 09:35:00
2023-12-06 09:50:00,0.09019037751248414,4.486942699686265,16,600,2.0,0.5,price_compare,5,,2023-12-06 09:50:00
2023-12-07 10:05:00,0.08585456117126818,4.570365866481419,16,600,2.0,0.5,price_compare,5,,2023-12-07 10:05:00
2023-12-08 10:20:00,0.07662269950478386,4.076464854817364,16,600,2.0,0.5,price_compare,5,,2023-12-08 10:20:00
