S,trend_method,ma_len_days,compare_lag_days,ma_short,ma_long,cumulative_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,calmar_ratio,win_rate,turnover
0.7,ma_cross,,,5.0,30.0,0.007985095537642595,0.004153347934082086,0.025918660506487615,0.16024546997876202,-0.035150960090486016,0.11815745354865098,0.506320865372084,49.0
0.6,ma_cross,,,5.0,20.0,0.007895892803045701,0.004116080215135349,0.026118614740206325,0.15759182698151142,-0.03446654844627106,0.11942246615009308,0.5046617565669037,73.0
0.4,ma_compare,3.0,2.0,,,0.00793737564816821,0.0041398009074290615,0.026276004868130146,0.15755062187745963,-0.036641607334009785,0.11298087634890967,0.5059906305708719,213.0
0.6,ma_cross,,,5.0,30.0,0.007715294221298796,0.00402493528125098,0.02592123591202254,0.15527559314346479,-0.031209471722304705,0.12896518457806672,0.5063159265529366,49.0
0.4,ma_compare,10.0,3.0,,,0.007590672884063121,0.003972258883665552,0.02617788892273093,0.15174099391247467,-0.0404170502117972,0.09828176135689642,0.5041659653257028,93.0
0.7,ma_cross,,,10.0,30.0,0.006983616014463179,0.003676231777598855,0.025918665802403568,0.14183723057449737,-0.028301817385884442,0.1298938413556572,0.5054085755245666,41.0
0.5,ma_cross,,,3.0,30.0,0.00676279487434317,0.003571064563978415,0.02592124079913779,0.13776595771978625,-0.03701581028056633,0.09647403466008306,0.5081824890393715,61.0
0.3,ma_compare,3.0,2.0,,,0.006661889160459511,0.003532046055986684,0.026276011388316763,0.13442093641187702,-0.03411964376030863,0.10351942947585849,0.5059906305708719,217.0
0.2,ma_compare,10.0,3.0,,,0.006525218966302981,0.0034644772436021416,0.026178500412000892,0.13234055385441165,-0.03978136921831532,0.08708793366536761,0.5046272926131583,97.0
0.3,ma_compare,10.0,3.0,,,0.00517281399524494,0.0028191272905378323,0.026177899915159283,0.10769111730407802,-0.040092079799553426,0.07031631445992567,0.5045026089883858,97.0
0.6,ma_cross,,,3.0,10.0,0.004970818985434722,0.0027235702967893082,0.026217006618723986,0.10388563181138136,-0.03479061682026352,0.07828462228364362,0.5052209506306908,127.0
